Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Angle	DL	SL	Wutt	*	Wdtt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Angle	DL	SL	Wutt	*	Wdtt	*	Angle	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	*	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	N/mm	N	*	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
1	30	0.55	0	1.66	1202.73	-1.35	741.05	-12.68	3399.6	-12.05	3229.62	-10.46	2802.97	-10.56	2831.87	-9.14	2451.11	-8.43	2260.74	45	0.55	0	2.12	1137.06	-1.94	632.06	39.68	0.55	0	-8.39	3223.69	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
2	30	0.55	0	1.66	1202.73	-1.35	741.05	-12.68	3399.6	-12.05	3229.62	-10.46	2802.97	-10.56	2831.87	-9.14	2451.11	-8.43	2260.74	45	0.55	0	2.12	1137.06	-1.94	632.06	39.36	0.55	0	-8.32	3229.98	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
3	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	38.71	0.55	0	-8.18	3242.57	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
4	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	37.72	0.55	0	-7.96	3261.48	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
5	30	0.55	0	1.66	1202.73	-1.35	741.05	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	2.12	1137.06	-1.94	632.06	36.41	0.55	0	-7.66	3286.75	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
6	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	34.74	0.55	0	-6.11	3432.02	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
7	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	32.94	0.55	0	-5.91	3525.24	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
8	30	0.55	0	1.29	1151.3	-1.21	799.15	-7.55	2877.22	-8.36	3188.06	-7.3	2783.17	-6.75	2574.36	-5.91	2253.96	-5.97	2276.27	45	0.55	0	1.37	1089.01	-1.47	587.45	31.04	0.55	0	-5.7	3624	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
9	30	0.55	0	1.29	1151.3	-1.21	799.15	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.37	1089.01	-1.47	587.45	30.93	0.55	0	-5.69	3629.61	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
10	30	0.55	0	1.29	1151.3	-1.21	799.15	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.37	1089.01	-1.47	587.45	32.64	0.55	0	-5.88	3541.2	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
11	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	34.07	0.55	0	-5.02	2505.49	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
12	30	0.55	0	1.01	580.95	-1	549.51	-6.19	1982.09	-6.01	1923.79	-7.14	2286.15	-6.99	2236.99	-5.15	1648.31	-5.05	1616.3	45	0.55	0	1.01	479.74	-1.24	494.66	35.27	0.55	0	-5.14	2498.58	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
